Seq,SOURCEID,RAdeg,DEdeg,e_Pos,RA,DEC,YAPERMAG3,J_1APERMAG3,HAPERMAG3,KAPERMAG3
2360,433834423123,14.115,-0.353,3.5,14.114892903726133,-0.3522974781988694,17.924705505371094,17.245426177978516,16.420604705810547,15.644725799560547
2361,433834423565,14.115,-0.16,5.8,14.114794826267627,-0.1600006056644469,,19.491657257080078,18.64469337463379,17.884662628173828
2362,433836362467,14.142,-0.442,3.4,14.141094055457222,-0.4403432573413017,18.888761520385742,18.414363861083984,17.76091194152832,17.142780303955078
2363,433836362494,14.154,-0.448,2.1,14.154556219618115,-0.447173910514408,18.222660064697266,17.871763229370117,17.17346954345703,16.248376846313477
2365,433832563084,14.162,0.038,4.0,14.16200684378133,0.03950803386767616,18.878496170043945,18.501506805419922,17.77724266052246,17.446340560913086
2366,433836363120,14.163,-0.4,3.8,14.16403814604177,-0.39939293618981186,,,,18.112112045288086
2368,433836362527,14.172,-0.4,4.3,14.171665392277863,-0.3981141634324034,20.279314041137695,19.43501853942871,18.432409286499023,17.24889373779297
2369,433836363145,14.186,-0.389,4.4,14.185371940383071,-0.38914945065176954,,,,18.370744705200195
2370,433834437127,14.196,-0.166,3.6,14.195810161426103,-0.16487549196840567,20.14126968383789,,,18.31806755065918
2371,433836363155,14.197,-0.577,3.4,14.196392281537232,-0.5767596644795605,,,,17.672788619995117
2372,433829058905,14.207,0.456,4.7,14.206795667540218,0.45543215556689887,20.627473831176758,19.613601684570312,,18.438936233520508
2373,433832563245,14.215,-0.012,1.3,14.215555940796513,-0.011784490278183115,18.467182159423828,18.165794372558594,17.186298370361328,16.323314666748047
2374,433832563005,14.217,0.068,3.4,14.216777037481185,0.06938169124577635,19.307279586791992,19.32232666015625,18.56343650817871,
2375,433836363033,14.231,-0.452,3.1,14.231218085938908,-0.4518785813377651,,,18.79680061340332,18.311870574951172
2377,433830897005,14.239,0.147,2.9,14.23942371742497,0.14733358933792817,20.111305236816406,,,
2378,433832563193,14.239,0.004,4.6,14.238816932476169,0.004933460065775179,17.24374771118164,16.651195526123047,15.949126243591309,15.35737419128418
2379,433834437256,14.241,-0.21,1.6,14.240823421427482,-0.20997753914687312,19.261966705322266,18.95322036743164,18.41925811767578,17.58061981201172
2380,433836362941,14.243,-0.443,3.0,14.242941249607753,-0.4426012344988141,,19.408397674560547,18.78517723083496,17.913156509399414
2382,433836362683,14.25,-0.459,3.8,14.24982556783888,-0.4582265527676769,19.693525314331055,19.722084045410156,,
2383,433836362697,14.252,-0.472,1.6,14.252026505333243,-0.47211972993189993,12.286664962768555,10.40007495880127,12.846083641052246,10.791451454162598
2384,433830897040,14.253,0.193,2.0,14.253741162144824,0.1928255615772408,19.76164436340332,19.368000030517578,,17.816030502319336
2387,433836362717,14.272,-0.449,2.9,14.272219605372639,-0.4490909569400286,18.6129207611084,18.004446029663086,17.309541702270508,16.37766456604004
2388,433834437241,14.276,-0.202,1.4,14.276441405514428,-0.20186308348015683,19.308515548706055,19.207780838012695,18.46839141845703,17.44916343688965
2390,433830897120,14.283,0.089,1.5,14.282596770211986,0.08893593725579281,17.206987380981445,16.677595138549805,15.99691390991211,15.24514102935791
2391,433830897541,14.286,0.255,3.0,14.286102682831558,0.2552646261485687,,,,17.75563621520996
2397,433834437536,14.296,-0.334,3.8,14.29762588425859,-0.3334436404588918,18.78679656982422,18.62032127380371,,18.018436431884766
2401,433836362818,14.321,-0.409,1.1,14.320827660859955,-0.40918666888218613,18.59834098815918,18.304895401000977,17.956501007080078,17.68928337097168
2402,433832563277,14.322,-0.021,1.9,14.322350960408002,-0.020327261776964617,18.08269500732422,17.938627243041992,17.70393180847168,16.903562545776367
2404,433834437412,14.323,-0.269,2.7,14.323196599654763,-0.2695651426360447,19.350780487060547,18.71735382080078,18.04741859436035,17.178678512573242
2405,433832563136,14.324,0.025,2.4,14.32284387125788,0.0237412441954482,18.076539993286133,17.50185775756836,16.822174072265625,16.18295669555664
2409,433832563275,14.334,-0.02,2.0,14.33381709806374,-0.01951655488184317,20.224939346313477,,,18.006271362304688
2411,433830897250,14.338,0.157,3.3,14.33842172857047,0.15654617270437865,19.82982063293457,19.352989196777344,18.36611557006836,17.816755294799805
2412,433830897263,14.343,0.28,4.6,14.342974664390379,0.27907521951358033,19.274770736694336,18.979040145874023,18.32789421081543,17.460294723510742
2413,433832563431,14.344,-0.088,1.2,14.344181292152005,-0.08789538357939237,18.342750549316406,18.013477325439453,17.627716064453125,16.996864318847656
2415,433836387102,14.349,-0.469,3.8,14.349830179947928,-0.4690900845427631,,19.801624298095703,18.410160064697266,18.027475357055664
2420,433836386700,14.364,-0.555,2.7,14.36240867543277,-0.554712120614084,19.102766036987305,18.383922576904297,17.409685134887695,16.66636085510254
2421,433836386718,14.365,-0.472,1.8,14.365099716552558,-0.47148499127888366,14.326086044311523,13.765008926391602,13.08266830444336,12.650546073913574
2424,433836387322,14.372,-0.431,3.2,14.372334811743086,-0.43044805961746263,,,,17.890562057495117
2425,433830897359,14.377,0.149,3.1,14.377760398562762,0.1503309578382332,18.179744720458984,17.692018508911133,17.03107452392578,16.79829216003418
2426,433832563239,14.38,-0.01,2.8,14.379882398564611,-0.009231051643620949,19.061052322387695,18.542770385742188,17.523548126220703,16.61402130126953
2427,433832732119,14.385,-0.085,3.1,14.384334082194739,-0.08337231890542021,19.727991104125977,19.334625244140625,18.046804428100586,17.071327209472656
2429,433830874662,14.395,0.208,3.2,14.394933429948782,0.20777637570292193,19.907625198364258,19.364906311035156,18.366050720214844,17.11851692199707
2431,433836387232,14.414,-0.581,2.4,14.414468052042082,-0.5801486282571786,,,18.988582611083984,
2434,433830874779,14.432,0.236,2.7,14.43313066829343,0.23550609119335453,18.977188110351562,18.346630096435547,17.349557876586914,16.71265411376953
2435,433834385379,14.432,-0.199,2.1,14.432440497459286,-0.19969199048322875,19.009084701538086,18.606855392456055,18.116687774658203,17.14151382446289
2436,433834385318,14.433,-0.174,2.4,14.433464665035544,-0.17367927122286972,18.640525817871094,18.019880294799805,17.15979766845703,16.50636863708496
2437,433832731732,14.438,0.069,3.6,14.438181169870866,0.069691946244685,19.977096557617188,18.946489334106445,18.044309616088867,17.16729736328125
2439,433830874811,14.443,0.193,3.4,14.443272814320464,0.19336884160691795,19.675378799438477,19.42869758605957,,18.524110794067383
2440,433836387261,14.444,-0.385,4.1,14.444997765480942,-0.3845574962124087,,,18.849292755126953,
2441,433832731799,14.447,0.049,2.1,14.445900225244294,0.05030085208998423,20.6832218170166,,,
2442,433829121355,14.451,0.38,2.4,14.450475227726077,0.3796228589416637,18.737504959106445,18.63042640686035,17.992395401000977,17.081064224243164
2443,433836386934,14.456,-0.57,3.3,14.455731380326002,-0.5695019156052015,20.190826416015625,,18.697046279907227,17.887392044067383
2445,433836386951,14.466,-0.569,2.3,14.466127280563576,-0.5689596700050188,18.807636260986328,18.7750186920166,17.862091064453125,17.10489273071289
2446,433836386959,14.47,-0.488,2.6,14.470756281093628,-0.4868559759311701,18.6008358001709,17.993803024291992,16.92148780822754,15.992341041564941
2448,433830874900,14.473,0.267,4.3,14.472126720303049,0.2669915554910879,19.020606994628906,18.271286010742188,17.387636184692383,17.039276123046875
2449,433834385278,14.474,-0.156,2.9,14.474607643839274,-0.1557282150264331,19.57767677307129,18.892396926879883,18.311656951904297,17.541044235229492
2450,433834385496,14.475,-0.249,2.2,14.475171565603489,-0.24933272910880935,20.577003479003906,,,
2451,433834385627,14.478,-0.315,1.5,14.478433750845552,-0.31467144793834906,19.31233024597168,19.171857833862305,18.696083068847656,17.62734031677246
2452,433832731862,14.482,0.024,1.9,14.482002288317027,0.024955086942272525,19.1053524017334,18.6517276763916,17.522933959960938,16.681806564331055
2453,433829121561,14.504,0.366,2.6,14.504039094186137,0.36636585880418626,20.181739807128906,,,
2454,433829121565,14.505,0.484,2.8,14.504616739903513,0.4838880901983848,19.562856674194336,18.98954200744629,18.147335052490234,17.944564819335938
2456,433830875006,14.509,0.263,2.2,14.50939736940655,0.26388982432730584,20.07074546813965,19.580495834350586,,18.011507034301758
