Seq,SOURCEID,ObsID,RAdeg,DEdeg,e_Pos,DistNN,ExtFlag,InXMM,InChandra,FSoft,e_FSoft,CtSoft,SoftDetml,FHard,e_FHard,CtHard,HardDetml,FFull,e_FFull,CtFull,FullDetml,logLSoft,logLHard,logLFull,RejS,SDSS,RASdeg,DESdeg,RelS,rS,CoaddS,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,SpecID,Class,zsp,r_zsp,WISE,RAWdeg,DEWdeg,e_RAWdeg,e_DEWdeg,RelW,rW,W1mag,e_W1mag,W1SNR,W2mag,e_W2mag,W2SNR,W3mag,e_W3mag,W3SNR,W4mag,e_W4mag,W4SNR,ExtW,RejW,UKIDSS,RAUdeg,DEUdeg,RelU,rU,Ymag,e_Ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,RejU,VHS,RAVdeg,DEVdeg,RelV,rV,JVmag,e_JVmag,HVmag,e_HVmag,KVmag,e_KVmag,RejV,GALEX,RAGdeg,DEGdeg,e_NUVPos,e_FUVPos,RelG,rG,NUV,e_NUV,FUV,e_FUV,FIRST,RAFdeg,DEFdeg,rF,F1.4GHz,e_F1.4GHz,RAHdeg,DEHdeg,rH,F250,e_F250,F350,e_F350,F500,e_F500,XMMAO10CP,ChCP,CPCoord,RA,DEC,SIGRA,SIGDEC,EPOCH,EBV,AY,AJ,AH,AK,MERGEDCLASS,MERGEDCLASSSTAT,YHALLMAG,YHALLMAGERR,YPETROMAG,YPETROMAGERR,YPSFMAG,YPSFMAGERR,YAPERMAG3,YAPERMAG3ERR,J_1HALLMAG,J_1HALLMAGERR,J_1PETROMAG,J_1PETROMAGERR,J_1PSFMAG,J_1PSFMAGERR,J_1APERMAG3,J_1APERMAG3ERR,HHALLMAG,HHALLMAGERR,HPETROMAG,HPETROMAGERR,HPSFMAG,HPSFMAGERR,HAPERMAG3,HAPERMAG3ERR,KHALLMAG,KHALLMAGERR,KPETROMAG,KPETROMAGERR,KPSFMAG,KPSFMAGERR,KAPERMAG3,KAPERMAG3ERR
4038,433834260760,747420101.0,22.279,-0.262,2.8,226.4,0.0,no,no,1.14,0.23,40.1,33.35,0.0,0.0,0.0,0.0,3.16,0.63,50.16,26.61,-999.0,-999.0,-999.0,no,,22.279,-0.262,0.98,1.93,yes,,,25.35,0.34,23.62,0.14,22.41,0.08,21.46,0.14,,,-999.0,,J012906.96-001544.1,22.28,-0.26,0.24,0.25,0.976,1.85,16.72,0.09,12.5,15.95,0.17,6.5,12.07,,1.7,9.13,,-0.1,no,no,433834260760,22.279,-0.262,0.952,2.9,,,,,18.85,0.22,,,no,472472329179,22.279,-0.262,0.965,1.79,20.09,0.15,19.2,0.14,18.24,0.14,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.27921446294945,-0.26247711383107164,,,2005.7820117180013,0.030457258224487305,0.03688373789191246,0.02707650326192379,0.017604295164346695,0.010964613407850266,1,0.27730342745780945,,,,,,,,,,,,,,,,,18.70743179321289,0.3825903534889221,18.70743179321289,0.3825903534889221,,,18.845382690429688,0.22302477061748505,,,,,,,,
4039,433832499682,747420101.0,22.28,-0.081,2.7,207.6,0.0,no,no,2.03,0.25,88.49,133.01,2.49,0.77,19.37,10.1,5.25,0.63,102.71,116.58,-999.0,-999.0,-999.0,no,1237657070619984380,22.279,-0.081,0.99,1.1,no,23.13,0.62,20.82,0.04,19.7,0.02,19.3,0.02,18.77,0.05,,,-999.0,,J012907.06-000451.1,22.28,-0.08,0.06,0.06,0.9941,1.02,14.78,0.03,35.9,13.9,0.04,29.6,10.86,0.09,12.3,8.75,0.34,3.2,no,no,433832499682,22.279,-0.081,0.978,1.02,18.68,0.06,18.16,0.07,17.03,0.04,16.01,0.03,no,472472324768,22.279,-0.081,0.984,1.08,17.86,0.02,16.97,0.02,16.03,0.02,no,,,,,,,,,,,,,,,,,,22.28,-0.08,0.33,42.03,10.76,12.68,10.17,10.1,11.39,,,0.0,22.27943529700835,-0.08088763875418668,,,2005.8967874880218,0.03299133479595184,0.03995250537991524,0.029329296201467514,0.019068991765379906,0.011876881122589111,1,8.344414710998535,18.381425857543945,0.09435606002807617,18.14444351196289,0.141954243183136,,,18.675535202026367,0.0620633102953434,17.96381950378418,0.09909316897392273,17.77901840209961,0.13234101235866547,,,18.162343978881836,0.07206014543771744,16.941617965698242,0.07740728557109833,16.84492301940918,0.11427409201860428,,,17.030078887939453,0.04366542771458626,16.041879653930664,0.04777767136693001,15.995923042297363,0.07137446105480194,,,16.014753341674805,0.029430337250232697
4042,433830801321,747420101.0,22.308,0.086,3.0,387.5,0.0,no,no,0.0,0.0,0.0,0.0,1.81,0.57,16.89,10.8,1.18,0.3,27.27,15.8,-999.0,-999.0,-999.0,no,,22.308,0.085,0.86,2.6,yes,,,23.4,0.17,,,22.97,0.47,20.4,0.09,,,-999.0,,J012913.53+000505.4,22.31,0.08,0.1,0.09,0.963,5.78,15.33,0.04,29.3,15.21,0.08,13.0,12.54,,0.5,8.58,,1.8,no,no,433830801321,22.308,0.085,0.852,2.38,20.07,0.19,,,18.36,0.13,17.43,0.09,no,472447677947,22.308,0.085,0.859,2.28,19.37,0.11,18.69,0.12,17.65,0.1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.307668278179232,0.08509291966054164,,,2005.8967854893908,0.03262528404593468,0.03950921818614006,0.029003877192735672,0.01885741390287876,0.01174510270357132,1,4.374887466430664,19.54514503479004,0.24638639390468597,19.54514503479004,0.24638639390468597,,,20.072547912597656,0.18504315614700317,,,,,,,,,18.0169677734375,0.19534988701343536,17.89398193359375,0.19445428252220154,,,18.357900619506836,0.12642355263233185,17.173870086669922,0.14960937201976776,16.85057830810547,0.1599275767803192,,,17.431947708129883,0.0921563059091568
4044,433834260667,747420101.0,22.335,-0.368,2.2,141.3,0.0,no,no,2.02,0.31,63.81,60.74,8.76,1.57,58.45,36.05,8.11,0.97,122.73,90.12,-999.0,-999.0,-999.0,no,1237663783670317226,22.335,-0.368,0.98,2.43,no,21.57,0.1,21.5,0.04,21.64,0.06,21.41,0.07,21.6,0.28,,,-999.0,,,,,,,,,,,,,,,,,,,,,no,no,433836255238,22.335,-0.369,0.968,1.2,17.8,0.03,17.34,0.03,16.77,0.02,,,no,472472332040,22.335,-0.369,0.974,1.11,17.28,0.01,16.78,0.02,16.58,0.03,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.334932431824093,-0.36634924987457873,,,2005.8967854893908,0.03248532488942146,0.03933972865343094,0.028879454359412193,0.01877651736140251,0.011694717220962048,1,7.244296550750732,19.097415924072266,0.16915953159332275,19.455705642700195,0.3858478367328644,,,19.085351943969727,0.09081590175628662,18.286487579345703,0.1484462022781372,18.27002716064453,0.1816764622926712,,,18.32562828063965,0.08211953938007355,17.315629959106445,0.09037254005670547,17.049962997436523,0.1355319619178772,,,17.628040313720703,0.07432085275650024,16.755802154541016,0.10217784345149994,16.55011749267578,0.12004037201404572,,,16.746715545654297,0.05344326049089432
4045,433834260336,747420101.0,22.349,-0.182,1.9,162.4,0.0,no,no,1.69,0.26,65.78,82.44,0.0,0.0,0.0,0.0,4.55,0.67,80.53,70.45,-999.0,-999.0,-999.0,no,1237657070620049766,22.349,-0.182,0.9,1.04,no,26.06,0.47,23.15,0.21,22.3,0.15,21.63,0.11,21.09,0.27,,,-999.0,,J012923.78-001055.6,22.35,-0.18,0.14,0.14,0.9938,0.44,16.29,0.06,17.9,15.06,0.07,15.8,11.59,0.16,6.6,9.19,0.51,2.1,no,no,433834260336,22.349,-0.182,0.983,0.82,20.06,0.21,19.29,0.19,18.33,0.14,18.07,0.17,no,472472327215,22.349,-0.182,0.938,1.19,19.34,0.07,18.27,0.06,17.85,0.1,no,2913585004832360978,22.351,-0.182,0.84,1.18,0.86,4.85,22.46,0.23,23.85,0.33,,,,,,,,,,,,,,,,,,1.0,22.348982336253343,-0.1821212657964963,,,2005.8967854893908,0.03107990138232708,0.03763775900006294,0.02763003297150135,0.017964182421565056,0.011188765056431293,1,1.7666904926300049,19.200260162353516,0.2118729054927826,19.141395568847656,0.21515515446662903,,,20.062631607055664,0.21484386920928955,19.462993621826172,0.275875449180603,19.462993621826172,0.275875449180603,,,19.285072326660156,0.19173894822597504,18.166414260864258,0.2419055551290512,18.57289695739746,0.47022438049316406,,,18.332489013671875,0.13740216195583344,18.317859649658203,0.5117858052253723,18.315837860107422,0.5209162831306458,,,18.071691513061523,0.174244686961174
4046,433832564342,747420101.0,22.365,-0.071,2.9,309.1,0.0,no,no,0.98,0.24,25.15,27.43,0.0,0.0,0.0,0.0,2.35,0.57,28.84,24.36,-999.0,-999.0,-999.0,no,1237657070620049793,22.365,-0.071,0.97,0.43,no,24.57,1.2,22.4,0.13,22.64,0.24,21.76,0.16,21.51,0.47,,,-999.0,,J012927.58-000416.1,22.36,-0.07,0.17,0.18,0.9877,0.51,16.33,0.07,16.6,15.72,0.12,8.9,12.26,,1.5,9.25,,0.1,no,no,433832564342,22.365,-0.071,0.969,0.61,,,,,18.49,0.16,17.7,0.13,no,472472324493,22.365,-0.071,0.944,0.54,19.6,0.09,18.93,0.11,18.05,0.12,no,2913585004832362486,22.365,-0.071,0.64,0.94,0.98,1.6,21.58,0.08,23.02,0.18,,,,,,,,,,,,,,,,,,0.0,22.364783289822395,-0.0710732868796361,,,2005.7820095550992,0.03516681119799614,0.04258700832724571,0.03126329556107521,0.020326416939496994,0.012660052627325058,1,4.688943386077881,,,,,,,,,,,,,,,,,20.53297233581543,2.6216554641723633,20.53297233581543,2.6216554641723633,,,18.4872989654541,0.15914669632911682,17.467334747314453,0.2811598777770996,17.467727661132812,0.2810589373111725,,,17.696121215820312,0.13335776329040527
4047,433830783802,747420101.0,22.366,0.177,3.0,123.4,0.0,no,no,0.0,0.0,0.0,0.0,3.49,1.07,14.42,17.85,1.58,0.51,14.5,12.97,-999.0,-999.0,-999.0,no,1237663784207188658,22.365,0.178,0.92,3.13,no,23.61,0.91,21.02,0.05,19.73,0.02,19.16,0.02,18.66,0.05,,,-999.0,,J012927.66+001039.6,22.37,0.18,0.11,0.11,0.9849,3.16,15.66,0.04,24.8,14.92,0.08,14.5,12.72,0.48,2.3,8.87,,0.3,no,no,433830783802,22.365,0.178,0.953,3.27,18.81,0.06,18.19,0.06,17.38,0.06,16.55,0.04,no,472447226704,22.365,0.178,0.953,3.14,18.1,0.03,17.29,0.03,16.45,0.03,no,2913585004832365531,22.365,0.178,0.85,0.96,0.79,4.72,23.02,0.3,24.1,0.3,,,,,,,,,,,,,,,,,,0.0,22.36526520007124,0.1777007403192575,,,2005.8967814921286,0.030933765694499016,0.03746078908443451,0.02750011719763279,0.01787971705198288,0.011136156506836414,1,8.97081470489502,18.38076400756836,0.08456771820783615,18.360374450683594,0.1541587859392166,,,18.80857276916504,0.06032561510801315,17.90715980529785,0.0942550003528595,17.63575553894043,0.12164439260959625,,,18.19405174255371,0.06473840773105621,17.050739288330078,0.09429429471492767,17.309226989746094,0.2152744084596634,,,17.382551193237305,0.05706755444407463,16.123247146606445,0.060588523745536804,16.021060943603516,0.09500432759523392,,,16.55338478088379,0.03771425783634186
4050,433834251858,747420101.0,22.381,-0.234,2.1,77.5,0.0,no,no,1.86,0.29,62.74,62.66,0.0,0.0,0.0,0.0,4.48,0.72,68.35,54.3,-999.0,-999.0,-999.0,no,,,,,,no,,,,,,,,,,,,,-999.0,,J012931.49-001359.5,22.38,-0.23,0.2,0.21,0.983,1.83,16.76,0.09,12.2,15.35,0.09,11.7,11.64,0.18,6.0,8.88,,0.8,no,no,433834251858,22.381,-0.233,0.966,1.87,,,,,,,18.21,0.18,no,472472359854,22.381,-0.233,0.973,2.09,,,19.57,0.2,18.3,0.15,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.381292907415624,-0.2332477419352272,,,2006.8850554414785,0.03215920925140381,0.038944799453020096,0.028589537367224693,0.018588023260235786,0.011577315628528595,1,0.7241877317428589,,,,,,,,,,,,,,,,,,,,,,,,,18.589473724365234,0.5043554306030273,18.88682746887207,0.7356889843940735,,,18.211225509643555,0.17521582543849945
4051,433830783888,747420101.0,22.394,0.157,3.6,123.4,0.0,no,no,0.0,0.0,0.0,0.0,4.67,1.59,13.32,12.27,2.36,0.7,18.08,15.07,-999.0,-999.0,-999.0,no,,,,,,no,,,,,,,,,,,,,-999.0,,J012934.58+000926.3,22.39,0.16,0.1,0.1,0.988,2.16,15.49,0.04,27.5,14.98,0.07,15.5,12.33,0.35,3.1,8.39,,1.9,no,no,,,,,,,,,,,,,,no,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.394123498565722,0.15735433990526018,,,2005.8967814921286,0.03190992772579193,0.038642920553684235,0.02836792543530464,0.018443938344717026,0.011487574316561222,1,10.156877517700195,18.704402923583984,0.08374861627817154,18.538110733032227,0.13485246896743774,,,18.97520637512207,0.0690038651227951,18.223718643188477,0.14955300092697144,18.111007690429688,0.19436629116535187,,,18.54508399963379,0.08805833011865616,17.061603546142578,0.11796853691339493,17.1645450592041,0.1913364976644516,,,17.69989776611328,0.07544099539518356,16.118364334106445,0.06042587384581566,15.9376859664917,0.10690105706453323,,,16.72361946105957,0.04358102008700371
4052,433834251435,747420101.0,22.412,-0.271,2.1,164.2,0.0,no,no,1.29,0.25,43.91,35.87,0.0,0.0,0.0,0.0,3.63,0.67,55.15,33.35,-999.0,-999.0,-999.0,no,1237663783670317599,22.412,-0.271,0.99,1.38,no,23.09,0.34,22.63,0.11,21.93,0.08,21.0,0.05,20.38,0.12,,,-999.0,,J012938.89-001614.3,22.41,-0.27,0.16,0.16,0.9918,1.32,16.11,0.06,18.6,15.55,0.11,9.9,12.15,,1.4,9.31,,-0.8,no,no,433834251435,22.412,-0.271,0.979,1.36,20.18,0.24,19.39,0.22,18.38,0.16,17.49,0.09,no,472472329390,22.412,-0.271,0.986,1.59,18.92,0.05,18.34,0.07,17.47,0.07,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.412028260681716,-0.27063896972747276,,,2005.8967814921286,0.03310675919055939,0.040092285722494125,0.029431909322738647,0.01913570798933506,0.01191843394190073,-1,1.0159062147140503,19.815855026245117,0.2954380512237549,19.725404739379883,0.2921055555343628,,,20.179224014282227,0.24191300570964813,19.395788192749023,0.2533559799194336,19.395788192749023,0.2533559799194336,,,19.392547607421875,0.22336755692958832,18.6807861328125,0.38222798705101013,18.899812698364258,0.5223308801651001,,,18.380199432373047,0.15616650879383087,17.469358444213867,0.18091362714767456,17.633960723876953,0.2583277225494385,,,17.493608474731445,0.0921398475766182
